siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
215,24.0,1.0,3.0,3.0,4.0,215,1145719.637339145,702555.3164633065,0.0,0.41651856899261475,2.0,6.0,0.0,90.89599233614211,179.96743675822412,10.0,5.0,95.07050323486328,13596.613467697161,6094.788625597959,2487.7258997119125,35.18625448526126,6063.323460611882
216,22.0,1.0,3.0,3.0,4.0,216,1147067.2396308035,702522.0550468862,1.0,0.6389415860176086,2.0,6.0,1.0,658.6627172896673,1429.699611538407,9.0,5.0,119.07695007324219,13104.935939407167,5069.052601776897,2764.6972353240108,22.41225814174619,5221.826202382698
217,26.0,1.0,3.0,3.0,4.0,217,1151671.263887301,702409.5451013148,5.0,0.26862794160842896,4.0,6.0,5.0,1551.5076408674202,1630.2941587882453,10.0,3.0,119.1450424194336,8655.962085727118,3741.536167959793,1224.8472139967644,2.6879710151854366,3495.292762218358
218,19.0,1.0,3.0,3.0,4.0,218,1138219.0434164703,702749.8501949757,0.0,0.06295787543058395,2.0,9.0,0.0,2755.8649501029427,2149.605919389573,10.0,4.0,93.02958679199219,7744.911879094271,12061.90543568775,3690.174728607749,5.288325428657415,7702.694825159825
219,28.0,1.0,26.0,3.0,4.0,219,1148676.3892996311,702485.2372071445,1.0,0.40909701585769653,2.0,6.0,3.0,1055.995363518001,2107.876802786401,9.0,5.0,110.32904052734375,11637.250772829415,4099.212589431543,2692.263767629958,16.756258654739682,4421.663084757179
220,19.0,1.0,3.0,3.0,4.0,220,1138104.1423995495,702755.3508401364,0.0,0.4938336908817291,2.0,8.0,0.0,2640.9148947079384,2078.0496711010014,10.0,4.0,93.9380111694336,7633.991328065903,12161.642517875143,3785.044002977487,1.6871337228705052,7591.971317734051
221,36.0,0.0,3.0,3.0,4.0,221,1143412.761047393,702620.6513063908,0.0,1.0226359367370605,2.0,6.0,0.0,20.023811715232092,1222.5069473270376,13.0,3.0,104.21265411376953,12800.816467987237,8077.620627257342,186.24322183154956,54.27225726938555,7676.321981220587
222,21.0,0.0,3.0,3.0,4.0,222,1139168.1717675477,702729.185210064,0.0,0.5142239332199097,2.0,9.0,0.0,1889.247054648864,2026.7626221276892,12.0,5.0,92.89956665039062,8658.325038976685,11263.50375389433,2886.677713337348,10.266517907982859,8613.40409303261
223,23.0,1.0,3.0,3.0,4.0,223,1146699.7298671454,702540.8020566404,0.0,2.8904707431793213,2.0,7.0,0.0,313.4230850427748,1068.5743963553036,9.0,5.0,108.7912826538086,13218.220524808514,5341.28266092437,2833.5105505743527,15.446325633213512,5445.654236265032
224,22.0,0.0,3.0,3.0,4.0,224,1139643.5090714693,702719.9447429776,0.0,0.32868149876594543,2.0,9.0,0.0,1441.8735282226642,1570.9894370160396,11.0,5.0,93.14910888671875,9117.425405564663,10873.438028054674,2471.277583217291,11.864051413672591,9071.82325747211
225,26.0,1.0,3.0,3.0,4.0,225,1144773.363313049,702590.550644815,0.0,0.19805122911930084,2.0,7.0,0.0,8.624581520507157,719.4360156057928,12.0,3.0,95.858154296875,13997.83406840737,6888.270365666972,1540.8915415365834,32.99874411588353,6726.152437838387
