EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,2771,Tacoma School District,Lister,Reading,-56.7,-50,-31,-61.3,,,-74.8,-38.7,,,-61,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2805,Tacoma School District,Lowell,Math,-10.5,-50,0,-15.8,0,,-50,0,-40.9,-75,,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2805,Tacoma School District,Lowell,Reading,-8.8,0,0,-4.7,0,-5.2,-50,0,-52.1,-75,,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2336,Tacoma School District,Lyon,Math,-57.8,0,-25.8,-86.5,-42.6,-37.1,-66.6,,-46.9,-73.8,-59.1,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2336,Tacoma School District,Lyon,Reading,-56.9,0,-31.9,-60,-43.9,-36.4,,,-56.5,-73.8,-60.4,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2252,Tacoma School District,Manitou Park,Math,-61,-66.6,0,-76.8,-58.1,-39.9,-37.9,-46.1,,-47.6,-65.5,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2252,Tacoma School District,Manitou Park,Reading,-61.4,,0,-67.4,-55.7,-40.4,-29.6,-46.5,,-60.5,-64.8,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2941,Tacoma School District,Mann,Math,-53.5,-75,-13.2,-54.4,,-43.5,-42.8,-44.2,,,-56,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2941,Tacoma School District,Mann,Reading,-47.9,-75,-0.9,-56.2,,-35.8,-42.8,-34.2,,-58.5,-52.9,No,N<Required,N<Required,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2376,Tacoma School District,Mason,Math,-36.7,-25,,-53.3,-37.7,-29.4,0,-15.3,-81.3,0,-52.4,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
