"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"    Margin of Error","±220","±12","±186","±47","±12","±12","±12","±124"
"Block Group 3, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","708","0","72","0","0","0","221","415"
"    Margin of Error","±349","±12","±114","±12","±12","±12","±353","±179"
"Block Group 4, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","733","14","34","55","0","85","14","531"
"    Margin of Error","±251","±22","±39","±50","±12","±51","±23","±262"
"Block Group 5, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,103","63","61","16","42","31","33","857"
"    Margin of Error","±341","±69","±46","±25","±50","±48","±51","±326"
"Block Group 6, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,394","22","0","113","0","0","69","1,190"
"    Margin of Error","±427","±33","±12","±94","±12","±12","±112","±425"
"Block Group 7, Census Tract 611, Pierce County, Washington","","","","","","","",""
"    Estimate","1,033","0","16","120","74","15","15","793"
"    Margin of Error","±344","±12","±24","±108","±79","±22","±24","±378"
"Block Group 1, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","1,896","202","130","200","332","131","85","816"
"    Margin of Error","±612","±200","±107","±215","±443","±131","±134","±285"
"Block Group 2, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","595","61","0","7","13","32","0","482"
"    Margin of Error","±197","±70","±12","±16","±19","±54","±12","±180"
"Block Group 3, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","794","19","15","0","0","37","18","705"
"    Margin of Error","±338","±29","±22","±12","±12","±53","±20","±327"
"Block Group 4, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","743","27","0","0","152","0","49","515"
"    Margin of Error","±259","±42","±12","±12","±189","±12","±98","±238"
"Block Group 5, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","677","22","0","24","0","99","0","532"
"    Margin of Error","±193","±35","±12","±23","±12","±100","±12","±176"
"Block Group 6, Census Tract 612, Pierce County, Washington","","","","","","","",""
"    Estimate","837","29","47","60","32","52","12","605"
"    Margin of Error","±298","±33","±52","±75","±38","±62","±18","±260"
"Block Group 1, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","647","72","146","34","46","63","40","246"
"    Margin of Error","±161","±69","±87","±39","±40","±57","±53","±113"
"Block Group 2, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","1,050","195","240","69","0","88","227","231"
"    Margin of Error","±346","±118","±211","±56","±12","±82","±217","±113"
"Block Group 3, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","913","105","101","26","42","167","94","378"
"    Margin of Error","±257","±92","±83","±41","±25","±163","±129","±195"
"Block Group 4, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","672","67","40","0","31","0","14","520"
